,audience_count,content_rating,runtime,production_company_popularity,actor_popularity,Main_Genre,director_popularity,author_popularity,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
3640,1356,PG-13,92.0,WORLDCLASS,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,17,41,65
3641,308,PG,85.0,PRETTY DECENT,NOT POPULAR,Comedy,NOT POPULAR,NOT THAT POPULAR,3,4,6
3642,59,NR,91.0,POPULAR,WHO?,Drama,WHO?,WHO?,2,9,2
3643,97661,R,121.0,WORLDCLASS,SUPER POPULAR,Drama,SUPER POPULAR,POPULAR,44,63,131
3644,19706,R,102.0,POPULAR,POPULAR,Art House & International,POPULAR,PRETTY DECENT,16,47,19
3645,21049,PG-13,88.0,SUPER POPULAR,POPULAR,Action & Adventure,PRETTY DECENT,PRETTY DECENT,3,2,18
3646,15649,R,90.0,WORLDCLASS,POPULAR,Action & Adventure,PRETTY DECENT,PRETTY DECENT,21,52,11
3647,3662,NR,171.0,NOT THAT POPULAR,NOT THAT POPULAR,Action & Adventure,NOT THAT POPULAR,NOT THAT POPULAR,3,8,1
3648,473094,R,144.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,WORLDCLASS,POPULAR,42,132,41
3649,169151,PG-13,95.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,WORLDCLASS,POPULAR,29,14,84
3651,22245,R,90.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,PRETTY DECENT,PRETTY DECENT,1,14,15
3653,4493,R,100.0,PRETTY DECENT,SUPER POPULAR,Action & Adventure,NOT THAT POPULAR,POPULAR,3,6,8
3654,7271,NR,100.0,POPULAR,NOT THAT POPULAR,Classics,PRETTY DECENT,PRETTY DECENT,9,33,0
3655,10451,PG,93.0,SUPER POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,37,45,45
3656,198,NR,96.0,NOT THAT POPULAR,POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,6,3,10
3658,16228,PG-13,121.0,SUPER POPULAR,SUPER POPULAR,Drama,POPULAR,POPULAR,29,40,64
3659,243,NR,96.0,WORLDCLASS,PRETTY DECENT,Classics,PRETTY DECENT,POPULAR,2,1,4
3660,6275,PG,100.0,NOT THAT POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,14,37,4
3661,123,NR,92.0,POPULAR,NOT POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,4,5,6
3662,88211,PG-13,134.0,POPULAR,POPULAR,Action & Adventure,POPULAR,PRETTY DECENT,60,495,18
3664,7043,R,101.0,POPULAR,NOT THAT POPULAR,Action & Adventure,POPULAR,PRETTY DECENT,1,12,1
3665,3960,R,80.0,PRETTY DECENT,POPULAR,Drama,NOT THAT POPULAR,PRETTY DECENT,22,31,28
3666,51,NR,83.0,NOT POPULAR,WHO?,Action & Adventure,WHO?,WHO?,3,2,7
3667,5725,NR,85.0,POPULAR,PRETTY DECENT,Art House & International,PRETTY DECENT,PRETTY DECENT,1,15,2
3668,16311,R,115.0,SUPER POPULAR,POPULAR,Action & Adventure,POPULAR,PRETTY DECENT,37,109,28
3669,42881,R,86.0,SUPER POPULAR,PRETTY DECENT,Comedy,PRETTY DECENT,PRETTY DECENT,32,68,27
3670,19,NR,87.0,NOT THAT POPULAR,WHO?,Action & Adventure,WHO?,WHO?,0,6,3
3671,413565,R,118.0,SUPER POPULAR,SUPER POPULAR,Drama,POPULAR,POPULAR,46,107,55
3672,32474,G,118.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,POPULAR,PRETTY DECENT,7,26,3
3673,6604,R,83.0,POPULAR,NOT THAT POPULAR,Horror,PRETTY DECENT,NOT THAT POPULAR,2,18,3
3674,1351,NR,85.0,POPULAR,PRETTY DECENT,Action & Adventure,PRETTY DECENT,PRETTY DECENT,0,5,1
3675,178032,R,108.0,SUPER POPULAR,SUPER POPULAR,Drama,SUPER POPULAR,POPULAR,54,262,47
3676,105,R,105.0,PRETTY DECENT,POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,5,0,9
3677,1052,R,92.0,NOT THAT POPULAR,PRETTY DECENT,Horror,NOT THAT POPULAR,NOT THAT POPULAR,6,4,15
3678,464,PG,70.0,NOT THAT POPULAR,NOT POPULAR,Documentary,NOT POPULAR,NOT POPULAR,11,17,3
3679,1454,NR,91.0,PRETTY DECENT,PRETTY DECENT,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,7,10,9
3680,6441,G,106.0,SUPER POPULAR,PRETTY DECENT,Comedy,SUPER POPULAR,POPULAR,1,9,2
3681,205,PG-13,106.0,NOT POPULAR,NOT THAT POPULAR,Drama,NOT POPULAR,NOT POPULAR,2,4,3
3682,662,R,102.0,NOT THAT POPULAR,PRETTY DECENT,Drama,NOT THAT POPULAR,NOT THAT POPULAR,3,4,6
3683,3698,NR,101.0,SUPER POPULAR,PRETTY DECENT,Classics,PRETTY DECENT,PRETTY DECENT,5,19,6
3684,28675,PG-13,83.0,SUPER POPULAR,PRETTY DECENT,Documentary,PRETTY DECENT,PRETTY DECENT,38,129,2
3685,20006,R,134.0,SUPER POPULAR,POPULAR,Action & Adventure,SUPER POPULAR,PRETTY DECENT,46,61,127
3686,11251,R,134.0,SUPER POPULAR,PRETTY DECENT,Comedy,POPULAR,PRETTY DECENT,63,418,18
3687,2252,R,98.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,NOT THAT POPULAR,NOT THAT POPULAR,25,55,19
3688,879,R,90.0,NOT POPULAR,SUPER POPULAR,Mystery & Suspense,PRETTY DECENT,PRETTY DECENT,1,1,4
3689,108,NR,90.0,NOT POPULAR,NOT THAT POPULAR,Mystery & Suspense,NOT POPULAR,NOT POPULAR,4,6,9
3690,5776,PG,92.0,POPULAR,NOT THAT POPULAR,Action & Adventure,NOT THAT POPULAR,NOT THAT POPULAR,3,13,13
3691,450793,R,116.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,SUPER POPULAR,SUPER POPULAR,37,86,65
3692,2325,R,151.0,SUPER POPULAR,NOT THAT POPULAR,Action & Adventure,POPULAR,NOT THAT POPULAR,21,79,13
3693,337821,R,122.0,WORLDCLASS,SUPER POPULAR,Drama,WORLDCLASS,POPULAR,27,107,12
3695,60156,R,164.0,WORLDCLASS,WORLDCLASS,Action & Adventure,POPULAR,POPULAR,54,381,54
3696,438172,R,114.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,SUPER POPULAR,SUPER POPULAR,38,43,125
3697,1403054,PG-13,93.0,WORLDCLASS,SUPER POPULAR,Comedy,SUPER POPULAR,SUPER POPULAR,51,131,56
3698,12840,R,89.0,PRETTY DECENT,PRETTY DECENT,Horror,POPULAR,PRETTY DECENT,40,80,139
3699,401984,R,87.0,POPULAR,POPULAR,Horror,POPULAR,POPULAR,41,140,22
3700,427,NR,100.0,POPULAR,NOT POPULAR,Drama,NOT POPULAR,NOT POPULAR,8,25,6
3701,6796,R,110.0,WORLDCLASS,POPULAR,Comedy,POPULAR,PRETTY DECENT,5,2,22
3702,3199,PG-13,79.0,POPULAR,NOT THAT POPULAR,Art House & International,POPULAR,POPULAR,5,3,13
3703,5172,PG-13,104.0,POPULAR,NOT THAT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,34,106,6
3705,96334,PG,93.0,WORLDCLASS,PRETTY DECENT,Comedy,POPULAR,PRETTY DECENT,1,1,10
3706,29024,PG-13,92.0,WORLDCLASS,POPULAR,Action & Adventure,POPULAR,POPULAR,3,3,13
3707,214684,PG-13,111.0,SUPER POPULAR,SUPER POPULAR,Comedy,POPULAR,POPULAR,26,47,34
3708,2117,R,118.0,SUPER POPULAR,POPULAR,Comedy,POPULAR,POPULAR,1,8,3
3709,832,R,127.0,PRETTY DECENT,NOT POPULAR,Drama,NOT THAT POPULAR,PRETTY DECENT,22,86,5
3710,218391,R,93.0,WORLDCLASS,POPULAR,Classics,SUPER POPULAR,SUPER POPULAR,7,52,7
3711,800,NR,108.0,POPULAR,NOT POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,0,4,2
